"SEQPRODUTO";"DESCCOMPLETA";"QUANTIDADE";"DATA";"HORA";"ENTRADASAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,496;01/04/25;"09:51:01";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,424;01/04/25;"09:51:30";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,5;01/04/25;"09:53:40";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,566;01/04/25;"09:53:40";"SAIDA"
"145909";"CARNE BOV RSF KG BIFE COX DENTRO";0,668;01/04/25;"09:53:40";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,526;01/04/25;"09:53:40";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,466;01/04/25;"09:53:44";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,874;01/04/25;"09:54:00";"SAIDA"
"145904";"CARNE BOV RSF KG CAPA DE FILE";0,768;01/04/25;"09:54:32";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,468;01/04/25;"09:54:32";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,386;01/04/25;"09:55:16";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,474;01/04/25;"09:55:16";"SAIDA"
"145917";"CARNE BOV RSF KG ESP P/CHURRASCO";1,95;01/04/25;"09:56:31";"SAIDA"
"145913";"CARNE BOV RSF KG BIFE DE ALCATRA";0,508;01/04/25;"09:56:31";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,502;01/04/25;"09:57:00";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,826;01/04/25;"09:57:00";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,488;01/04/25;"09:57:00";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,468;01/04/25;"09:57:00";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,656;01/04/25;"09:58:43";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,422;01/04/25;"09:58:57";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,352;01/04/25;"09:58:57";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,454;01/04/25;"09:59:34";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,494;01/04/25;"10:01:53";"SAIDA"
"145926";"CARNE BOV RSF KG COSTELA JANELA";1,756;01/04/25;"10:02:50";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,866;01/04/25;"10:02:50";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,528;01/04/25;"10:02:50";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,458;01/04/25;"10:03:06";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,53;01/04/25;"10:03:17";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,49;01/04/25;"10:03:17";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,344;01/04/25;"10:07:29";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,4;01/04/25;"10:07:29";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,428;01/04/25;"10:08:59";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,438;01/04/25;"10:08:59";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,442;01/04/25;"10:09:43";"SAIDA"
"145923";"CARNE BOV RSF KG AGULHA";0,844;01/04/25;"10:10:02";"SAIDA"
"145911";"CARNE BOV RSF KG PICADO PRIMEIRA";0,598;01/04/25;"10:10:44";"SAIDA"
"145907";"CARNE BOV RSF KG ENTRECOT";0,464;01/04/25;"10:10:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";10,095;01/04/25;"10:11:01";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";10,055;01/04/25;"10:11:01";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,816;01/04/25;"10:11:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,524;01/04/25;"10:11:42";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";1,03;01/04/25;"10:12:44";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,686;01/04/25;"10:13:03";"SAIDA"
"145919";"CARNE BOV RSF KG PEITO";0,498;01/04/25;"10:13:03";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,408;01/04/25;"10:13:05";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,382;01/04/25;"10:13:05";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,33;01/04/25;"10:14:39";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,494;01/04/25;"10:14:54";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,462;01/04/25;"10:15:16";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,458;01/04/25;"10:15:16";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,448;01/04/25;"10:15:37";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,43;01/04/25;"10:15:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,438;01/04/25;"10:15:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,48;01/04/25;"10:15:44";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,516;01/04/25;"10:16:27";"SAIDA"
"145922";"CARNE BOV RSF KG ACEM";1,312;01/04/25;"10:17:28";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,408;01/04/25;"10:21:40";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,37;01/04/25;"10:21:40";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,492;01/04/25;"10:25:09";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,548;01/04/25;"10:26:00";"SAIDA"
"145886";"CARNE BOV RSF KG MOIDA PRIMEIRA";0,5;01/04/25;"10:26:00";"SAIDA"
"145916";"CARNE BOV RSF KG PALETA";0,8;01/04/25;"10:26:34";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,47;01/04/25;"10:26:36";"SAIDA"
"145887";"CARNE BOV RSF KG MOIDA SEGUNDA";0,452;01/04/25;"10:26:36";"SAIDA"
"145899";"CARNE BOV RSF KG MAMINHA";0,812;01/04/25;"10:27:36";"SAIDA"
"145899";"CARNE BOV RSF KG MAMINHA";0,954;01/04/25;"10:27:36";"SAIDA"
